Compound_match,20240606_Gabby_Ulithi_M_P201_5mg_mL_neg,20240606_Gabby_Ulithi_M_P203_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_P204_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_P205_5mg_mL_neg,20240606_Gabby_Ulithi_M_P208_5mg_mL_neg,20240606_Gabby_Ulithi_M_P209_5mg_mL_neg,20240606_Gabby_Ulithi_M_P210_5mg_mL_neg,20240607_Gabby_Ulithi_M_P202_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_P206_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_P207_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_P11_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_P12_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_P13_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_P16_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_P19_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_P20_3_5mg_mL_neg,20240608_Gabby_Ulithi_M_P14_3_5mg_mL_neg,20240608_Gabby_Ulithi_M_P15_3_5mg_mL_neg,20240608_Gabby_Ulithi_M_P18_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_91_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_M92_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_M94_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_M95_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_M96_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_M97_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_93_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_M99_3_5mg_mL_neg,20240608_Gabby_Ulithi_M_M100_3_5mg_mL_neg,20240608_Gabby_Ulithi_M98_1_5mg_mL_neg,20240606_Gabby_Ulithi_M_M85_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_M86_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_M90_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_M82_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_M83_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_M84_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_M88_3_5mg_mL_neg,20240608_Gabby_Ulithi_M_M81_3_5mg_mL_neg,20240608_Gabby_Ulithi_M_M87_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_M1_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_M2_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_M3_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_M4_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_M5_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_M6_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_M7_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_M8_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_M9_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_M10_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_M72_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_M74_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_M76_2_5mg_mL_neg,20240607_Gabby_Ulithi_M_M71_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_M75_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_M77_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_M78_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_M79_3_5mg_mL_neg,20240608_Gabby_Ulithi_M_M73_3_5mg_mL_neg,20240608_Gabby_Ulithi_M_M80_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_70_3_5mg_mL_neg,20240608_Gabby_Ulithi_M_M66_3_5mg_mL_neg,20240608_Gabby_Ulithi_M_M67_3_5mg_mL_neg,20240608_Gabby_Ulithi_M_M68_3_5mg_mL_neg,20240608_Gabby_Ulithi_M_M69_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_62_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_M61_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_M63_3_5mg_mL_neg,20240608_Gabby_Ulithi_M_M64_3_5mg_mL_neg,20240608_Gabby_Ulithi_M_M65_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_M51_2_5mg_mL_neg,20240606_Gabby_Ulithi_M_M55_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_M56_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_M52_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_M54_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_M57_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_M58_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_M59_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_M60_3_5mg_mL_neg,20240608_Gabby_Ulithi_M_M53_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_45_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_46_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_48_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_M41_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_M43_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_M47_2_5mg_mL_neg,20240607_Gabby_Ulithi_M_M49_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_M50_2_5mg_mL_neg,20240608_Gabby_Ulithi_M_M42_3_5mg_mL_neg,20240608_Gabby_Ulithi_M_M44_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_32_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_M33_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_M34_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_M36_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_M40_3_5mg_mL_neg,20240608_Gabby_Ulithi_M_M31_3_5mg_mL_neg,20240608_Gabby_Ulithi_M_M35_3_5mg_mL_neg,20240608_Gabby_Ulithi_M_M39_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_29_5mg_mL_neg,20240606_Gabby_Ulithi_M_M22_U_5mg_mL_neg,20240606_Gabby_Ulithi_M_M23_5mg_mL_neg,20240606_Gabby_Ulithi_M_M26_5mg_mL_neg,20240606_Gabby_Ulithi_M_M27_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_M28_5mg_mL_neg,20240607_Gabby_Ulithi_M_M24_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_M30_3_5mg_mL_neg,20240607_Gabby_Ulithi_M25_2_5mg_mL_neg,20240608_Gabby_Ulithi_M_M21_U_5mg_mL_neg,20240606_Gabby_Ulithi_M_M12_U_5mg_mL_neg,20240606_Gabby_Ulithi_M_M13_U_5mg_mL_neg,20240606_Gabby_Ulithi_M_M17_U_5mg_mL_neg,20240607_Gabby_Ulithi_M_M14_U_5mg_mL_neg,20240607_Gabby_Ulithi_M_M16_U_5mg_mL_neg,20240607_Gabby_Ulithi_M_M18_U_5mg_mL_neg,20240607_Gabby_Ulithi_M_M19_U_5mg_mL_neg,20240607_Gabby_Ulithi_M_M20_U_5mg_mL_neg,20240608_Gabby_Ulithi_M_M11_U_5mg_mL_neg,20240608_Gabby_Ulithi_M_M15_U_5mg_mL_neg,20240606_Gabby_Ulithi_M_M107_3_5mg_mL_neg,20240608_Gabby_Ulithi_M_M101_1_5mg_mL_neg,20240608_Gabby_Ulithi_M_M102_3_5mg_mL_neg,20240608_Gabby_Ulithi_M_M104_3_5mg_mL_neg,20240608_Gabby_Ulithi_M_M105_3_5mg_mL_neg,20240608_Gabby_Ulithi_M_M110_3_5mg_mL_neg,20240608_Gabby_Ulithi_M103_1_5mg_mL_neg,20240608_Gabby_Ulithi_M106_2_5mg_mL_neg,20240608_Gabby_Ulithi_M108_3_5mg_mL_neg,20240608_Gabby_Ulithi_M109_1_5mg_mL_neg,20240606_Gabby_Ulithi_M_A306_5mg_mL_neg,20240606_Gabby_Ulithi_M_A309_5mg_mL_neg,20240606_Gabby_Ulithi_M_A325_5mg_mL_neg,20240606_Gabby_Ulithi_M_A328_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_A331_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_A339_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_A323_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_A326_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_A340_3_5mg_mL_neg,20240608_Gabby_Ulithi_M_A315_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_A21_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_A22_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_A23_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_A25_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_A26_3_5mg_mL_neg,20240608_Gabby_Ulithi_M_A24_3_5mg_mL_neg
(+)-12-methyl myristic acid,921.5371997,1271.078313,1651.117103,1436.350138,1171.564832,1036.352019,854.7560837,1555.939415,1864.107878,2285.905416,1994.432305,2250.313385,1870.209282,1641.190511,1621.788151,1471.938903,0,4053.27999,4547.663173,601.7844553,596.7870608,721.9966787,719.8279295,649.7645196,671.1610848,879.5117726,1249.304382,1109.992909,1.34055266,800.5677724,1094.905764,527.692417,1161.051541,1321.210603,771.1939169,0,978.5717948,1599.234023,948.6550681,804.5936979,445.5436529,847.8500634,1337.729029,944.6758406,892.7987605,1370.650546,645.9115641,869.2607794,921.4646291,673.3628666,889.8449923,1304.504559,1309.553203,1274.418156,1034.388668,930.132655,1861.502346,5.930740648,1441.661564,2597.350277,2450.425835,2412.765348,2390.704082,0,1335.012571,1296.471634,1542.820329,3156.011982,506.7135746,1255.178977,746.4063133,936.2900001,925.18605,782.4868971,17.79904515,4.624207515,898.939054,1740.045272,1151.055027,1081.374059,1049.53288,0,1357.487279,901.0599276,745.4383952,740.6448084,3.06376059,17.87527531,896.5504627,876.597329,1251.287382,580.3931512,1451.059162,1130.375233,1224.610925,5.729940137,1254.348132,526.5379723,557.0822097,1178.63935,922.9917197,633.6703478,618.4536528,1293.521887,917.7844491,1890.057395,589.4541943,909.249332,871.1323125,686.4255214,921.7995722,823.6022867,1023.056708,969.7022956,4036.813049,0,644.7518865,10.16597006,1194.073658,2160.538962,9.374862837,5.579920566,1601.092925,1.761174633,1304.40601,0,1764.415599,2639.665193,801.3671322,940.8848382,802.6955884,1203.21824,2.923224145,730.1700461,1585.980868,5262.947187,2065.89691,2256.147985,1284.735926,1783.15338,1669.244953,3955.050212
(+)-18-methyl-eicosanoic acid,393.8557442,640.8803194,841.825394,434.3255499,484.042063,331.0457413,402.29261,831.0716588,841.2574635,1073.357487,881.125719,789.8697905,807.7907882,781.6422464,805.2663082,810.9980653,0,1390.489505,2207.153099,448.9916211,363.5646422,563.8118936,374.4719454,567.169135,491.5556482,488.1491628,340.3256453,531.6365456,0,475.6871775,813.9980853,907.8737438,580.771965,231.2684231,206.5010574,0,1779.5211,846.8688157,869.0858202,677.785165,393.0076944,557.7083816,635.9313798,829.0012594,945.7725497,648.4369577,310.9459092,481.2180353,1019.984422,866.0082147,1585.826437,621.2723941,396.59859,904.2819647,1224.733255,721.9713112,2452.391819,0,638.0306627,671.2074522,931.100369,1203.332765,834.7874355,0,401.6292601,656.6870306,738.9198198,1386.095844,787.1019233,1358.954708,1098.816696,2427.755478,977.9501663,618.8172879,0,0,1664.409743,1037.104833,940.6112009,314.9747458,380.5046298,0,1724.920523,630.6399192,402.6821941,188.5374431,0,0,596.6245454,893.358281,311.4222345,680.6416153,694.2119748,504.4408586,423.3322621,0,856.3720598,260.7564745,448.7672419,1304.026967,302.0975788,458.9084583,456.3479707,148.6568692,247.4373158,1736.619089,338.2176254,304.4144023,181.4995406,163.9733541,193.5357575,298.6173257,227.7321263,123.372168,1721.311811,0,66.53704176,0,229.3363731,1289.743984,0,0,585.3868204,0,513.1671844,0,299.8178416,513.5847348,276.773701,404.9741843,421.661217,618.9760759,0,402.1392018,720.8530826,766.0045206,581.9992001,786.0095928,389.6631043,592.7758263,578.1954051,1458.703187
(+)-Isostearic acid,72975.17839,247365.2206,187687.037,246337.2308,151685.3089,108520.5153,86546.58652,227024.7907,406781.4554,215436.1715,465716.1821,349616.0412,467039.0822,310322.3375,308903.1151,232026.8443,197229.8715,601012.1346,461955.8704,105966.7597,97641.64767,126262.4473,123004.3136,83944.29477,115356.7889,144129.1833,112031.8109,170278.7736,140963.163,71390.03745,106604.669,140964.4511,116526.4689,72602.59856,76208.63501,116238.9432,233778.7842,141186.1505,123779.3874,111885.0383,76761.50608,92209.85531,297015.8934,120430.7485,119787.545,150384.1133,82911.51868,88605.82213,128663.622,153051.0858,220942.9635,177280.9546,106999.7368,140112.0638,176591.0112,114723.4637,301068.888,99187.35567,161816.6759,193284.212,656750.809,230339.2263,492546.7616,12213.5513,242305.9437,138976.8587,220184.4696,770528.6898,113968.5752,101775.832,152367.0653,214124.1959,119524.3239,122254.6874,112189.4166,148395.2191,144230.8356,178571.4224,177850.2403,83064.99347,105896.9422,99955.11207,186075.8126,182367.6683,88012.37452,86632.11498,169279.0305,125637.344,123029.4647,145436.614,99452.68652,127367.1353,135810.3044,141391.3008,119093.5439,94770.63231,123496.5515,62150.3067,83161.70797,82010.25284,85881.82266,101273.6363,86217.91664,112001.2182,98278.96335,247008.3828,96739.41507,101215.925,54100.80593,73492.25994,74070.16013,103241.6704,59630.99115,53963.34661,227014.2695,255126.6241,50575.62114,154408.7669,84217.36721,233206.1169,215627.3645,228028.6414,107226.0429,96883.59912,128722.7753,222842.443,81107.43407,82438.58177,78664.71141,216302.1499,103538.6983,237273.5243,15078.11257,194225.4334,375084.6234,284479.2945,255210.4418,360402.1897,173206.9013,280047.9546,277520.1167,518760.0277
(4-tert-Butyl-phenoxy)-acetic acid,0.423714572,3.571120334,3.039467516,3.182739168,3.792921487,0.795919033,1.974421308,0.934495342,4.613953907,5.208992975,5.075464876,9.644748926,5.140102508,3.013664178,1.817706055,3.089055529,164.7770168,30.72756085,16.54636929,85.5298011,49.46779816,29.24027877,136.2819865,46.72219046,17.81246053,144.0915342,145.7832039,140.6828355,155.6998501,50.65153558,73.37966705,92.8881083,394.5376205,175.2379191,293.8684903,300.8950279,306.5577945,463.603428,53.08255023,186.2986772,139.6227722,70.60484225,212.7833298,24.08618167,33.70191838,4.233081638,29.11475372,22.40716989,70.56320668,296.3601543,176.8040922,558.0622816,281.0710434,309.4810894,369.1345859,294.8987475,219.3721251,191.1266555,2.845457514,11.40445086,2.989167269,0,34.7446359,2.764652288,0,8.407413961,128.0674625,8.899524774,302.0161724,311.2337728,166.9485898,650.9984258,455.7250953,406.7127094,101.7132549,180.4718183,471.5519842,380.5504267,349.6982803,464.945003,208.5833626,243.8498206,380.0298496,740.4925449,153.0473813,214.9472863,692.9061792,461.9745627,497.6153665,498.1139958,538.8415177,312.815955,154.0157429,153.618177,51.20217895,221.2529165,350.4440727,359.6120761,274.3167201,200.2541089,472.9684989,180.0692652,259.5436292,170.8818353,380.5305316,372.2701208,152.4775124,115.8714619,311.0213553,310.2151256,254.0057806,578.4226118,255.9692732,251.6590007,224.892958,97.52642976,57.24076834,328.8258934,209.6755852,258.5202407,119.6334514,103.6840882,89.70603713,284.7565178,177.0951481,127.9018564,4.247259542,1.548066592,22.48144828,0.530865538,0.181938278,4.445388646,30.57269398,3.112133409,2.418487217,30.33941122,1.347733278,2.586747296,2.171195433,8.917645826,1.694732436,2.498405127
(4-tert-Butyl-phenoxy)-acetic acid,426.2690713,654.0558703,586.8511109,541.3400912,459.8225198,450.3318424,324.4589061,277.5383231,825.0657491,694.7433816,776.0334645,803.4230836,795.887634,693.8217825,617.1420594,566.8842964,1411.990726,2042.043708,2248.363858,148.106496,197.8746104,174.2484136,147.8426126,226.872224,287.1031977,523.7926979,217.5283148,214.7555726,350.3437266,171.7982775,476.6851902,620.6320758,362.7251219,201.8417219,191.5261722,382.5251122,867.1670619,907.8021004,467.5041503,554.711772,487.0856332,730.8452577,796.2348798,430.2897111,406.9387146,276.8955033,399.6097926,233.0939678,366.7147565,566.733531,732.858,1449.115269,528.9073343,664.4856691,939.052766,506.6379389,612.918415,305.6102275,647.8885585,718.197242,1369.742611,222.3716077,1303.476819,135.2157394,810.3471126,819.9444068,332.4468743,1747.148593,431.673225,559.0723736,1020.530001,821.1831895,533.6739281,845.3187607,322.4280402,397.4017262,753.8527201,982.2850706,1131.16465,520.3569896,557.2262729,293.0178774,692.9319838,1556.899072,650.6450857,526.2364172,368.2777141,608.0637414,604.4995638,635.3086047,1487.732309,722.7239132,761.1853561,831.7483711,529.476761,360.3752481,432.2780663,726.6238906,409.516036,471.2593332,820.9543815,548.101192,678.5713915,1014.135711,666.7413627,1010.764565,459.1300502,509.1690526,477.3090612,453.8847437,782.1314567,1737.962411,790.687582,1007.489456,2000.95643,643.8768054,102.7148647,362.9641856,492.9736036,1035.006146,406.7263112,406.027849,353.6816134,404.615005,521.6316687,519.5364516,287.5884683,419.7612836,270.3188947,466.4206714,436.6797069,447.6599373,124.5627486,519.8362196,837.3239375,1116.531448,759.9203274,610.5546351,425.9151015,618.4496585,577.3777181,1135.969113
(Â±)11-HEDE,59.77087515,186.7871641,86.24618923,305.4033369,83.5650366,129.3105199,139.929667,100.5217134,616.612327,71.46916729,550.6120038,130.5431138,253.5223702,646.6348631,372.4645784,411.3405919,0,362.284434,334.1811656,216.5911668,162.4553178,205.2361507,146.5980133,385.3681388,164.4361065,172.4089785,97.91737805,309.1309029,0,391.1218473,522.7656527,548.5396961,664.0330818,372.5059859,204.7541061,0,749.8780831,727.1081546,395.3214179,410.7732135,268.4657403,403.3522831,70.17354964,278.3460732,345.642204,43.30546588,140.1562752,119.4960356,502.5643054,1158.726742,571.6329484,326.4204591,285.6265213,459.9590065,851.9486773,1118.639647,1251.619243,0,71.81270855,197.5486761,327.3242828,235.5147461,403.946286,0,191.2832688,155.9439738,183.8117166,825.9377341,641.888972,291.3453584,671.7516539,763.7523802,574.1763802,219.1907154,0,0,387.3037225,965.4641575,345.3436386,102.4243867,214.4708891,0,543.5741537,391.1078774,251.6039153,517.1995556,0,0,224.0598329,233.7494383,282.7851656,492.1682912,167.9317685,529.8381444,458.6394557,0,140.4040908,317.4908702,531.8440651,290.6272811,343.2715168,215.8078012,322.8924812,225.8616959,289.2663104,340.4717229,127.5485656,143.2015872,192.269644,459.3191171,115.2770528,165.2454644,284.9410881,146.7142723,181.0562935,0,297.030651,0,537.6528746,485.9150536,0,0,277.7239841,0,348.5574557,0,23.7373035,34.76848855,7.681117713,136.3275814,85.82003623,102.2975109,0,159.1485597,340.1526926,1310.457133,317.2740155,403.8804979,150.5070348,308.5058984,234.5809073,1086.778028
(Â±)4-HDoHE,1810.764441,549.0442951,512.7002785,607.5882218,643.0057889,1378.548211,1257.899821,982.8256045,1031.098856,1763.099332,586.8797867,626.4321526,431.0271308,1062.326126,1141.895376,987.9145268,81.1488431,1030.258454,792.407927,930.567963,798.5411447,956.7538015,1220.059969,776.769187,918.1395438,1024.6758,2930.624061,1883.169317,336.4309894,2081.544392,1321.074667,819.1850446,2259.783335,4173.800104,6259.85418,289.8163718,1748.613791,2206.951897,663.7015552,509.6839975,496.69835,1431.30288,224.8856445,662.219357,538.854797,757.6545965,551.9140625,809.8313411,1150.808583,1758.535492,1672.5304,1224.704694,2780.308713,1935.864824,957.5754535,2081.253842,1201.281279,929.8787155,769.2980051,1892.540301,776.2620955,845.2040225,848.5320511,0,312.4384916,560.5601039,404.8790984,578.2057496,2399.690266,1398.448369,1530.320165,607.7561703,2552.958205,1215.29019,807.281251,479.7929553,1465.762184,3612.243328,1421.938478,1422.999641,1959.509003,573.1699269,996.5586533,2787.411063,1706.042907,4214.806664,828.3147477,2243.421493,1076.14456,716.9630014,2793.934174,1000.195133,797.5804051,1734.612406,1774.705947,600.4192844,2212.300081,3277.338454,1216.658041,694.6828435,3343.111021,507.0819491,1236.366299,5655.655988,2379.830769,3365.373774,636.8745014,1170.278095,2074.836954,2633.712581,1895.60659,971.3946631,1884.55744,1831.35304,3446.854376,150.6216731,4130.675822,350.7442625,2828.331859,964.9346734,878.3615829,838.7126714,2562.653955,687.9368671,2794.143832,225.2500714,576.087284,517.0350625,735.1190059,385.9736558,447.8781459,631.5998135,0,2396.793186,424.0011318,1886.935967,281.5167184,218.5442517,221.6490733,310.0950419,342.1710354,451.9308584
(Â±)9-HODE,732.2062233,1093.47434,749.3978099,1017.365411,1248.42747,892.0985612,766.9169723,1348.872154,1395.298473,1542.467648,1170.388043,2150.116164,1415.619307,1047.383789,726.649654,1721.711328,79.24931277,6483.355654,4034.520409,9032.619034,6488.324892,9130.244334,9157.744328,10467.40561,5732.366701,6931.908404,7989.354821,22630.56841,71.37154728,16600.78656,23402.39419,18054.03967,18545.26934,16802.8858,15740.19771,68.00420389,23016.21948,31152.41625,14959.9357,16842.2359,8325.634375,19059.10834,3934.942121,12241.8773,13478.87309,4763.573866,8108.197929,7401.143193,16140.39357,19835.73297,18415.50087,28523.26799,32131.34793,13714.67145,21067.65925,18359.70749,39230.79779,89.98609144,779.4492285,4170.965544,3420.36964,4289.057559,4186.600158,66.43641959,1512.238515,1245.079314,4029.395279,4318.66398,14269.78877,17263.67085,12296.84467,16577.26316,19000.69386,32146.32949,64.73529919,66.60149251,9859.701032,29183.61916,35062.592,29426.41539,14139.79192,73.59501172,16973.23828,27299.11205,20744.79032,21484.98567,73.24967903,106.1138897,12346.33854,21928.10826,18558.78945,17269.8941,12222.57515,19848.67338,30287.04892,66.55359505,5499.87652,16617.56073,8555.407596,8259.476325,16413.3298,8358.454801,14541.61345,10055.21997,29706.07162,20956.24481,11724.92582,15607.63248,14213.46823,28259.00233,14160.77639,12569.24605,20522.42147,11480.56652,22419.88298,152.2122874,20186.87249,101.5679853,22858.74551,24203.02336,76.89427853,102.1340113,24143.72507,79.43105407,22372.19987,95.77922508,816.5805484,977.3624778,1027.806735,1539.807098,1221.83721,1065.328327,90.79964753,1435.777116,1624.024733,5406.313459,1336.121799,1021.726804,1408.593141,2051.252521,1445.340664,4753.681682
"[6]-Gingerdiol 3,5-diacetate",0,0,0,0,3.270747025,0,0,0,0,0,0.004294635,2.613671617,3.242296026,2.537206359,0.063606906,2.776862232,763.6837619,0.386289901,4.073872283,44.32596146,4.269408075,7.095226128,6.848284992,19.80960131,20.32193214,21.23964843,7.947141626,0,1026.58357,1.029071878,4.637286159,0.188763799,8.880601567,0,5.101393715,696.5072416,0,0.717294146,23.32908713,9.393691718,108.2376394,2.64710028,37.22017398,24.72156371,81.93613345,1.830483849,42.44033809,26.22155132,16.77745061,13.96301803,0.37415988,0,2.408645458,11.97963638,0.254624674,3.772889635,0.895649697,1454.980987,3.354740674,0,0,0,0,3971.732192,0,0,336.0247768,0,9.596448676,89.44510833,2.98236302,1.558779881,122.2507116,58.55102372,1274.062191,1176.735251,9.439473858,0,10.71941442,0.63962949,0,707.2826364,10.10820699,2.86867389,7.585178558,57.65777513,937.8809676,1486.927235,6.117357614,46.69556437,0.294663023,67.62412869,10.10307222,8.104064118,0,1656.322767,16.4932433,13.28099423,38.86922464,206.3323011,31.33621997,15.04282288,4.197092183,2.100917113,3.53475771,0,56.95315872,6.081230172,25.02418496,58.96074306,0,123.515059,7.344240404,33.63565135,0,160.7873464,4.69662275,791.4543252,0,0.988249609,1177.380729,763.4450195,4.90730971,784.616641,5.013038447,705.1744018,0,0,0.011819069,0,3.354785809,0.002788571,2579.935973,0,0,0,0,3.750634973,0,1.732043272,0,0
"1,11-Undecanedicarboxylic acid",34.97793139,93.96013234,255.051324,194.0136351,97.63800895,29.22069424,73.16244399,227.9522893,291.9269647,103.5783793,555.8434991,374.5953353,860.8072201,381.2323583,320.192365,689.6045419,483.4039491,498.2257626,3122.429543,94.9252691,112.1035193,283.0959575,158.254108,489.3734162,438.2800879,485.221454,390.0249112,233.839614,0,222.9220541,201.8485155,177.9566657,330.0043191,317.7462402,403.1140378,22.69759744,398.2780051,123.5378792,296.3200594,450.9483008,264.6771462,179.7855349,579.5208283,612.9385649,457.8462743,372.7005591,352.2989643,291.3885743,590.1421094,470.8642775,449.8986224,746.6770911,370.8489253,496.5007312,479.9620811,337.0226517,388.6034024,500.5238026,250.7186904,370.6226359,303.5573902,721.7359927,456.3628388,0,162.2345675,437.3116888,93.51957424,833.7677801,168.7527363,388.1864848,107.4100778,570.8126344,170.9673215,385.455057,401.9823455,453.5394078,345.3607716,362.1785463,364.1867428,148.8425197,27.30706215,494.1584275,744.6731342,421.715816,571.5678001,301.4972603,866.9713869,1063.844611,947.3966116,440.5431561,279.4298669,613.4645655,233.1560581,220.7997002,518.8892888,617.2275432,407.6426575,104.5313734,121.7458056,133.1626503,171.619227,89.49560848,39.889166,53.18810149,0.049068952,742.2556516,152.3782578,233.8799753,51.83126653,194.609698,165.9826415,367.9724557,197.7536992,116.6543489,1831.71317,1802.836641,75.98287842,0,185.6595757,480.2355656,1547.446054,2.19758545,82.64288072,2.79419501,2.397428064,0,1.595429879,26.03395983,10.56329296,54.37566792,69.24375827,167.5036446,0.019070913,134.8629332,292.6360053,1129.491799,453.7400556,464.6413017,135.2042127,289.0858179,212.534623,1175.602807
