genus,location,sample_full_name,date_run,sample_ID,ionization_mode
Pocillopora,MogMog,20240606_Gabby_Ulithi_M_P201_5mg_mL_neg,20240606,P201,neg
Pocillopora,MogMog,20240606_Gabby_Ulithi_M_P203_3_5mg_mL_neg,20240606,P203,neg
Pocillopora,MogMog,20240606_Gabby_Ulithi_M_P204_3_5mg_mL_neg,20240606,P204,neg
Pocillopora,MogMog,20240606_Gabby_Ulithi_M_P205_5mg_mL_neg,20240606,P205,neg
Pocillopora,MogMog,20240606_Gabby_Ulithi_M_P208_5mg_mL_neg,20240606,P208,neg
Pocillopora,MogMog,20240606_Gabby_Ulithi_M_P209_5mg_mL_neg,20240606,P209,neg
Pocillopora,MogMog,20240606_Gabby_Ulithi_M_P210_5mg_mL_neg,20240606,P210,neg
Pocillopora,MogMog,20240607_Gabby_Ulithi_M_P202_3_5mg_mL_neg,20240607,P202,neg
Pocillopora,MogMog,20240607_Gabby_Ulithi_M_P206_3_5mg_mL_neg,20240607,P206,neg
Pocillopora,MogMog,20240607_Gabby_Ulithi_M_P207_3_5mg_mL_neg,20240607,P207,neg
Pocillopora,Falalop,20240606_Gabby_Ulithi_M_P11_3_5mg_mL_neg,20240606,P11,neg
Pocillopora,Falalop,20240606_Gabby_Ulithi_M_P12_3_5mg_mL_neg,20240606,P12,neg
Pocillopora,Falalop,20240606_Gabby_Ulithi_M_P13_3_5mg_mL_neg,20240606,P13,neg
Pocillopora,Falalop,20240606_Gabby_Ulithi_M_P16_3_5mg_mL_neg,20240606,P16,neg
Pocillopora,Falalop,20240606_Gabby_Ulithi_M_P19_3_5mg_mL_neg,20240606,P19,neg
Pocillopora,Falalop,20240606_Gabby_Ulithi_M_P20_3_5mg_mL_neg,20240606,P20,neg
Pocillopora,Falalop,20240608_Gabby_Ulithi_M_P14_3_5mg_mL_neg,20240608,P14,neg
Pocillopora,Falalop,20240608_Gabby_Ulithi_M_P15_3_5mg_mL_neg,20240608,P15,neg
Pocillopora,Falalop,20240608_Gabby_Ulithi_M_P18_3_5mg_mL_neg,20240608,P18,neg
Montipora,Sohng,20240606_Gabby_Ulithi_M_91_3_5mg_mL_neg,20240606,M91,neg
Montipora,Sohng,20240606_Gabby_Ulithi_M_M92_3_5mg_mL_neg,20240606,M92,neg
Montipora,Sohng,20240606_Gabby_Ulithi_M_M94_3_5mg_mL_neg,20240606,M94,neg
Montipora,Sohng,20240606_Gabby_Ulithi_M_M95_3_5mg_mL_neg,20240606,M95,neg
Montipora,Sohng,20240606_Gabby_Ulithi_M_M96_3_5mg_mL_neg,20240606,M96,neg
Montipora,Sohng,20240606_Gabby_Ulithi_M_M97_3_5mg_mL_neg,20240606,M97,neg
Montipora,Sohng,20240607_Gabby_Ulithi_M_93_3_5mg_mL_neg,20240607,M93,neg
Montipora,Sohng,20240607_Gabby_Ulithi_M_M99_3_5mg_mL_neg,20240607,M99,neg
Montipora,Sohng,20240608_Gabby_Ulithi_M_M100_3_5mg_mL_neg,20240608,M100,neg
Montipora,Sohng,20240608_Gabby_Ulithi_M98_1_5mg_mL_neg,20240608,M98,neg
Montipora,Laam,20240606_Gabby_Ulithi_M_M85_3_5mg_mL_neg,20240606,M85,neg
Montipora,Laam,20240606_Gabby_Ulithi_M_M86_3_5mg_mL_neg,20240606,M86,neg
Montipora,Laam,20240606_Gabby_Ulithi_M_M90_3_5mg_mL_neg,20240606,M90,neg
Montipora,Laam,20240607_Gabby_Ulithi_M_M82_3_5mg_mL_neg,20240607,M82,neg
Montipora,Laam,20240607_Gabby_Ulithi_M_M83_3_5mg_mL_neg,20240607,M83,neg
Montipora,Laam,20240607_Gabby_Ulithi_M_M84_3_5mg_mL_neg,20240607,M84,neg
Montipora,Laam,20240607_Gabby_Ulithi_M_M88_3_5mg_mL_neg,20240607,M88,neg
Montipora,Laam,20240608_Gabby_Ulithi_M_M81_3_5mg_mL_neg,20240608,M81,neg
Montipora,Laam,20240608_Gabby_Ulithi_M_M87_3_5mg_mL_neg,20240608,M87,neg
Montipora,Falalop,20240606_Gabby_Ulithi_M_M1_3_5mg_mL_neg,20240606,M1,neg
Montipora,Falalop,20240606_Gabby_Ulithi_M_M2_3_5mg_mL_neg,20240606,M2,neg
Montipora,Falalop,20240606_Gabby_Ulithi_M_M3_3_5mg_mL_neg,20240606,M3,neg
Montipora,Falalop,20240606_Gabby_Ulithi_M_M4_3_5mg_mL_neg,20240606,M4,neg
Montipora,Falalop,20240606_Gabby_Ulithi_M_M5_3_5mg_mL_neg,20240606,M5,neg
Montipora,Falalop,20240606_Gabby_Ulithi_M_M6_3_5mg_mL_neg,20240606,M6,neg
Montipora,Falalop,20240606_Gabby_Ulithi_M_M7_3_5mg_mL_neg,20240606,M7,neg
Montipora,Falalop,20240606_Gabby_Ulithi_M_M8_3_5mg_mL_neg,20240606,M8,neg
Montipora,Falalop,20240606_Gabby_Ulithi_M_M9_3_5mg_mL_neg,20240606,M9,neg
Montipora,Falalop,20240606_Gabby_Ulithi_M_M10_3_5mg_mL_neg,20240606,M10,neg
Montipora,Pigleilei,20240606_Gabby_Ulithi_M_M72_3_5mg_mL_neg,20240606,M72,neg
Montipora,Pigleilei,20240606_Gabby_Ulithi_M_M74_3_5mg_mL_neg,20240606,M74,neg
Montipora,Pigleilei,20240606_Gabby_Ulithi_M_M76_2_5mg_mL_neg,20240606,M76,neg
Montipora,Pigleilei,20240607_Gabby_Ulithi_M_M71_3_5mg_mL_neg,20240607,M71,neg
Montipora,Pigleilei,20240607_Gabby_Ulithi_M_M75_3_5mg_mL_neg,20240607,M75,neg
Montipora,Pigleilei,20240607_Gabby_Ulithi_M_M77_3_5mg_mL_neg,20240607,M77,neg
Montipora,Pigleilei,20240607_Gabby_Ulithi_M_M78_3_5mg_mL_neg,20240607,M78,neg
Montipora,Pigleilei,20240607_Gabby_Ulithi_M_M79_3_5mg_mL_neg,20240607,M79,neg
Montipora,Pigleilei,20240608_Gabby_Ulithi_M_M73_3_5mg_mL_neg,20240608,M73,neg
Montipora,Pigleilei,20240608_Gabby_Ulithi_M_M80_3_5mg_mL_neg,20240608,M80,neg
Pocillopora,Bulbul,20240607_Gabby_Ulithi_M_70_3_5mg_mL_neg,20240607,M70,neg
Pocillopora,Bulbul,20240608_Gabby_Ulithi_M_M66_3_5mg_mL_neg,20240608,M66,neg
Pocillopora,Bulbul,20240608_Gabby_Ulithi_M_M67_3_5mg_mL_neg,20240608,M67,neg
Pocillopora,Bulbul,20240608_Gabby_Ulithi_M_M68_3_5mg_mL_neg,20240608,M68,neg
Pocillopora,Bulbul,20240608_Gabby_Ulithi_M_M69_3_5mg_mL_neg,20240608,M69,neg
Acropora,Bulbul,20240607_Gabby_Ulithi_M_62_3_5mg_mL_neg,20240607,M62,neg
