Compound_match,20240606_Gabby_Ulithi_M_P201_5mg_mL_neg,20240606_Gabby_Ulithi_M_P203_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_P204_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_P205_5mg_mL_neg,20240606_Gabby_Ulithi_M_P208_5mg_mL_neg,20240606_Gabby_Ulithi_M_P209_5mg_mL_neg,20240606_Gabby_Ulithi_M_P210_5mg_mL_neg,20240607_Gabby_Ulithi_M_P202_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_P206_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_P207_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_P11_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_P12_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_P13_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_P16_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_P19_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_P20_3_5mg_mL_neg,20240608_Gabby_Ulithi_M_P14_3_5mg_mL_neg,20240608_Gabby_Ulithi_M_P15_3_5mg_mL_neg,20240608_Gabby_Ulithi_M_P18_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_91_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_M92_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_M94_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_M95_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_M96_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_M97_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_93_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_M99_3_5mg_mL_neg,20240608_Gabby_Ulithi_M_M100_3_5mg_mL_neg,20240608_Gabby_Ulithi_M98_1_5mg_mL_neg,20240606_Gabby_Ulithi_M_M85_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_M86_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_M90_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_M82_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_M83_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_M84_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_M88_3_5mg_mL_neg,20240608_Gabby_Ulithi_M_M81_3_5mg_mL_neg,20240608_Gabby_Ulithi_M_M87_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_M1_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_M2_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_M3_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_M4_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_M5_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_M6_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_M7_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_M8_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_M9_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_M10_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_M72_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_M74_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_M76_2_5mg_mL_neg,20240607_Gabby_Ulithi_M_M71_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_M75_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_M77_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_M78_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_M79_3_5mg_mL_neg,20240608_Gabby_Ulithi_M_M73_3_5mg_mL_neg,20240608_Gabby_Ulithi_M_M80_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_70_3_5mg_mL_neg,20240608_Gabby_Ulithi_M_M66_3_5mg_mL_neg,20240608_Gabby_Ulithi_M_M67_3_5mg_mL_neg,20240608_Gabby_Ulithi_M_M68_3_5mg_mL_neg,20240608_Gabby_Ulithi_M_M69_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_62_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_M61_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_M63_3_5mg_mL_neg,20240608_Gabby_Ulithi_M_M64_3_5mg_mL_neg,20240608_Gabby_Ulithi_M_M65_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_M51_2_5mg_mL_neg,20240606_Gabby_Ulithi_M_M55_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_M56_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_M52_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_M54_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_M57_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_M58_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_M59_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_M60_3_5mg_mL_neg,20240608_Gabby_Ulithi_M_M53_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_45_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_46_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_48_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_M41_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_M43_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_M47_2_5mg_mL_neg,20240607_Gabby_Ulithi_M_M49_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_M50_2_5mg_mL_neg,20240608_Gabby_Ulithi_M_M42_3_5mg_mL_neg,20240608_Gabby_Ulithi_M_M44_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_32_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_M33_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_M34_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_M36_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_M40_3_5mg_mL_neg,20240608_Gabby_Ulithi_M_M31_3_5mg_mL_neg,20240608_Gabby_Ulithi_M_M35_3_5mg_mL_neg,20240608_Gabby_Ulithi_M_M39_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_29_5mg_mL_neg,20240606_Gabby_Ulithi_M_M22_U_5mg_mL_neg,20240606_Gabby_Ulithi_M_M23_5mg_mL_neg,20240606_Gabby_Ulithi_M_M26_5mg_mL_neg,20240606_Gabby_Ulithi_M_M27_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_M28_5mg_mL_neg,20240607_Gabby_Ulithi_M_M24_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_M30_3_5mg_mL_neg,20240607_Gabby_Ulithi_M25_2_5mg_mL_neg,20240608_Gabby_Ulithi_M_M21_U_5mg_mL_neg,20240606_Gabby_Ulithi_M_M12_U_5mg_mL_neg,20240606_Gabby_Ulithi_M_M13_U_5mg_mL_neg,20240606_Gabby_Ulithi_M_M17_U_5mg_mL_neg,20240607_Gabby_Ulithi_M_M14_U_5mg_mL_neg,20240607_Gabby_Ulithi_M_M16_U_5mg_mL_neg,20240607_Gabby_Ulithi_M_M18_U_5mg_mL_neg,20240607_Gabby_Ulithi_M_M19_U_5mg_mL_neg,20240607_Gabby_Ulithi_M_M20_U_5mg_mL_neg,20240608_Gabby_Ulithi_M_M11_U_5mg_mL_neg,20240608_Gabby_Ulithi_M_M15_U_5mg_mL_neg,20240606_Gabby_Ulithi_M_M107_3_5mg_mL_neg,20240608_Gabby_Ulithi_M_M101_1_5mg_mL_neg,20240608_Gabby_Ulithi_M_M102_3_5mg_mL_neg,20240608_Gabby_Ulithi_M_M104_3_5mg_mL_neg,20240608_Gabby_Ulithi_M_M105_3_5mg_mL_neg,20240608_Gabby_Ulithi_M_M110_3_5mg_mL_neg,20240608_Gabby_Ulithi_M103_1_5mg_mL_neg,20240608_Gabby_Ulithi_M106_2_5mg_mL_neg,20240608_Gabby_Ulithi_M108_3_5mg_mL_neg,20240608_Gabby_Ulithi_M109_1_5mg_mL_neg,20240606_Gabby_Ulithi_M_A306_5mg_mL_neg,20240606_Gabby_Ulithi_M_A309_5mg_mL_neg,20240606_Gabby_Ulithi_M_A325_5mg_mL_neg,20240606_Gabby_Ulithi_M_A328_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_A331_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_A339_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_A323_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_A326_3_5mg_mL_neg,20240607_Gabby_Ulithi_M_A340_3_5mg_mL_neg,20240608_Gabby_Ulithi_M_A315_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_A21_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_A22_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_A23_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_A25_3_5mg_mL_neg,20240606_Gabby_Ulithi_M_A26_3_5mg_mL_neg,20240608_Gabby_Ulithi_M_A24_3_5mg_mL_neg
(+)-12-methyl myristic acid,810.9512516,1337.391472,1468.011447,1551.7252,1296.029699,1022.862862,889.3449385,959.4301326,1059.04758,987.8349747,2159.42277,2567.39193,1902.112165,1837.918611,1761.860204,1674.960999,0,2015.986568,2740.604417,717.433399,714.8069715,921.1874521,688.1901286,909.225099,836.2894948,649.5475074,877.9386901,661.6951382,1.020826123,1082.51605,1462.679995,741.265937,1182.712931,1155.35973,841.9549918,0,601.8964426,1048.94419,1411.376249,1264.993252,704.9353737,1191.007652,1351.995034,1494.816998,1338.477205,1861.439397,945.6613254,1307.604062,1309.638825,797.7847254,1004.156455,1070.694452,1269.533245,1289.158306,897.9742962,855.6682964,977.8449289,3.648255767,1204.515279,1002.774913,918.604114,832.6635213,1268.926012,0,966.9233734,928.3600717,646.964672,1320.807672,605.9337655,1762.640701,841.2779536,738.1913173,967.90449,865.0107396,15.8081521,4.571014603,899.3178035,914.8378781,909.8971053,1081.374059,764.0252106,0,1372.888505,873.7915089,644.1122265,722.1789373,2.196832944,9.492563647,945.8672996,914.2032451,963.0991553,465.4627099,1250.946526,676.6653175,780.0078266,4.808314684,1285.042202,655.2862886,756.0126667,1444.484596,1123.79637,769.9314878,655.0683397,879.4834912,615.8660335,1082.278189,726.5803585,1135.749477,1000.723865,759.0726394,733.7474111,744.2427048,953.0748268,926.3507866,1914.273132,0,755.5023141,6.089437037,835.4881826,1301.086063,5.985676348,2.9357864,1490.170731,1.296104183,1019.569168,0,1609.591693,2149.390801,882.249379,930.2463572,772.8460516,1336.05451,1.991348267,544.5916507,917.0009059,2383.732774,2204.521529,2251.332695,1486.242668,1957.432117,1886.654804,1510.38172
(+)-18-methyl-eicosanoic acid,346.5924206,674.3155517,748.468605,469.2128215,535.4657904,326.7368504,418.5719216,512.4590226,477.9399792,463.8424927,954.0173093,901.1657394,821.5704517,875.3370327,874.8162709,922.8576856,0,691.5900635,1330.119075,535.2773439,435.4627604,719.3612617,358.0131941,793.6481562,612.4950239,360.5137325,239.1611328,316.9221304,0,643.217254,1087.416611,1275.318461,591.6072534,202.2374195,225.4486094,0,1094.541479,555.4647483,1292.995869,1065.623137,621.8134274,783.434452,642.7131719,1311.7782,1417.895113,880.6227838,455.2473387,723.8824902,1449.660853,1026.026471,1789.545221,509.9199546,384.4785335,914.7410532,1063.216387,664.1718884,1288.238454,0,533.0777355,259.1371676,349.0465279,415.2792142,443.0843197,0,290.8921814,470.2316677,309.8578686,580.0884264,941.2252922,1908.372372,1238.4813,1914.095007,1023.104874,684.0799531,0,0,1665.111007,545.2632756,743.543435,314.9747458,276.9947808,0,1744.490423,611.5551139,347.9462908,183.8367984,0,0,629.4432618,931.6832399,239.697527,545.8598022,598.4746047,301.9684296,269.6386834,0,877.3276005,324.5162768,609.0191239,1598.153724,367.8214605,557.5897204,483.3654165,101.0738695,166.0392463,994.4168716,416.8980149,380.2460844,208.4998101,181.3273003,154.053403,269.8435516,212.1541798,117.8566921,816.2530469,0,77.96625348,0,160.46567,776.6894986,0,0,544.8317787,0,401.109344,0,273.5094314,418.1948178,304.7085611,400.395186,405.9810611,687.3115367,0,299.9323965,416.7912381,346.9444051,621.0521738,784.3320151,450.7805223,650.7115167,653.5021335,557.059585
(+)-Isostearic acid,64218.03945,260270.4595,166872.9119,266124.3096,167800.0737,107108.0124,90048.81057,139989.0144,231102.9962,93098.94608,504242.7991,398878.4,475006.0478,347520.4102,335582.7364,264029.9228,124975.6672,298926.3988,278393.155,126331.1007,116951.1456,161096.8382,117598.041,117464.4928,143738.4748,106444.0007,78729.46156,101507.5283,107342.9515,96532.56598,142412.7279,198017.1451,118700.4683,63488.83253,83201.17581,103924.752,143791.8192,92604.57831,184154.6979,175907.1925,121451.4013,129530.7366,300183.3736,190564.7653,179584.5891,204232.1538,121388.4702,133287.1972,182864.181,181331.381,249325.787,145506.3788,103729.8239,141732.6252,153302.3261,105538.9575,158151.1225,61014.44386,135198.6232,74622.41827,246199.6549,79491.80446,261431.5184,7990.554577,175497.4339,99516.69056,92331.92646,322470.3235,136284.8982,142923.2222,171733.6129,168820.1542,125043.0978,135148.1002,99640.59009,146688.2079,144291.6043,93884.85679,140588.7773,83064.99347,77089.47009,71104.37826,188186.9157,176848.748,76049.00267,84472.18966,121379.5073,66718.99946,129796.9857,151675.8266,76547.4021,102145.678,117080.9798,84639.67247,75855.84483,79527.3619,126518.5289,77347.21131,112858.2165,100507.8839,104566.1391,123050.9866,91322.32828,76151.18339,65948.68261,141441.0937,119244.1407,126429.495,62148.96039,81270.23543,58959.44181,93293.64586,55551.95143,51550.86133,107651.088,85935.05133,59263.10509,92491.16989,58926.52819,140437.7491,137674.08,119973.6405,99797.52472,71299.70858,100614.2044,146492.1844,73990.42051,67126.97115,86604.36646,213856.4454,99688.44392,263468.7139,10271.45776,144861.5291,216870.7998,128848.4558,272335.4253,359632.9845,200373.8526,307418.7935,313665.565,198107.6399
(4-tert-Butyl-phenoxy)-acetic acid,0.372868141,3.757428501,2.702396516,3.438393218,4.195874402,0.785559352,2.054318923,0.576232584,2.62130576,2.251022902,5.495335387,11.00373429,5.22778472,3.374909521,1.974699322,3.515123843,104.411758,15.28301773,9.971506469,101.966635,59.25049204,37.30734323,130.292135,65.3790519,22.19493048,106.4161957,102.4479838,83.86463326,118.5648867,68.49026664,98.02758787,130.4828124,401.8983906,153.2403953,320.832461,269.0186292,188.5564727,304.0794001,78.97438502,292.9013366,220.9099612,99.18134229,215.0525248,38.11300366,50.52566326,5.748821211,42.62610877,33.70646307,100.2885104,351.1206454,199.5167383,458.0391725,272.4815098,313.0606035,320.4534041,271.2898075,115.2359118,117.5702943,2.377393653,4.402986117,1.12056497,0,18.4415849,1.808737235,0,6.020268566,53.70367653,3.724498089,361.1543203,437.0638179,188.1685155,513.2612603,476.7672037,449.6060737,90.3362282,178.3958255,471.7506629,200.0763719,276.4328772,464.945003,151.8417866,173.465764,384.3414373,718.0833132,132.243912,209.5881873,496.8401012,245.3289733,524.9878535,519.4830242,414.7391062,250.8716063,132.7757431,91.95892613,32.61288912,185.6657525,359.0194868,447.5439096,372.2734482,245.4219567,575.8667937,218.7904132,274.9095482,116.1849325,255.3495316,213.1680409,187.9487273,144.7358251,357.2895738,343.0464148,202.1872103,522.6877294,238.4597734,240.4083339,106.6451534,32.85011424,67.07313906,196.9673884,146.7091016,155.6820257,76.38374373,54.55173284,83.49128827,209.5613388,138.4237357,84.08013337,3.874571094,1.260538685,24.75050821,0.5248631,0.175172608,4.936163158,20.82662093,2.321160501,1.398349131,13.74154942,1.438168097,2.581226409,2.511740528,9.78922315,1.915461889,0.954108098
(4-tert-Butyl-phenoxy)-acetic acid,375.1160962,688.1784815,521.770471,584.8233235,508.673208,444.4703238,337.5885723,171.1368885,468.7410503,300.2275624,840.2312425,916.628748,809.464248,776.9896051,670.4439383,645.0737087,894.7147902,1015.654654,1354.954332,176.5691119,237.0060618,222.3215935,141.3446497,317.4656573,357.7403303,386.8376205,152.8662882,128.0212847,266.7855123,232.3031217,636.801736,871.8211639,369.4923757,176.5046367,209.0997001,342.0009364,533.3740176,595.4311409,695.5365295,872.1254596,770.6627411,1026.646493,804.7262039,680.8731064,610.0794687,376.0434782,585.0576877,350.6365712,521.1962213,671.4527587,827.0025653,1189.386168,512.7439213,672.1712304,815.2112185,466.0776285,321.9653015,187.9941041,541.3140556,277.2788033,513.4826687,76.74211918,691.8529377,88.46311111,586.9184911,587.1348266,139.4079264,731.1909076,516.1996754,785.102156,1150.244009,647.4386144,558.3151532,934.4690742,286.3631985,392.830358,754.1703405,516.4414998,894.1739679,520.3569896,405.6422897,208.4421053,700.793569,1509.783254,562.2040098,513.1162093,264.069137,322.9088036,637.7514639,662.5632646,1145.087652,579.6088918,656.2118223,497.9012804,337.2467198,302.411117,442.8559693,904.2969311,555.751566,577.5531314,999.5599464,665.9619906,718.7452654,689.5249512,447.4071868,578.7805413,565.9385914,636.0064999,548.3146033,501.9211548,622.5723561,1570.498123,736.6008396,962.4486346,948.8616604,216.8789185,120.3584194,217.4162959,344.9315019,623.2852521,259.6872193,213.6250907,329.1788879,297.768995,407.7254797,341.5329174,262.353161,341.7975294,297.6022692,461.1469043,420.441064,497.0819575,84.85418882,387.7158019,484.1337146,505.707641,810.9120617,609.2515303,492.7185299,678.8946132,652.5779474,433.8116817
(Â±)11-HEDE,52.59827387,196.5319979,76.6816556,329.9349104,92.44283047,127.6274143,145.5921092,61.98413632,350.3133055,30.88480502,596.1616725,148.9371832,257.8470704,724.14643,404.6339331,468.0761186,0,180.1900077,201.3909877,258.21494,194.5822914,261.8584992,140.154753,539.2513343,204.8929706,127.3295318,68.81065644,184.2808308,0,528.8692496,698.3604316,770.5507577,676.421748,325.7455053,223.5413661,0,461.2323316,476.9132368,588.1455532,645.8232828,424.7642081,566.6044931,70.92190463,440.4436141,518.1841998,58.81185436,205.198941,179.7544595,714.2734571,1372.832601,645.0661857,267.9151806,276.8977722,465.2789754,739.5943491,1029.083836,657.4740734,0,59.99986881,76.26882603,122.7057879,81.27791538,214.404599,0,138.542713,111.6662755,77.07941405,345.6593009,767.5780192,409.1346306,757.1343472,602.1589204,600.6877173,242.3073453,0,0,387.466905,507.597817,272.9905779,102.4243867,156.1277111,0,549.7412157,379.2719351,217.4038245,504.3046562,0,0,236.3847635,243.77726,217.6559582,394.7082871,144.7726377,317.1717549,292.1273668,0,143.839798,395.1232864,721.7621439,356.1790388,417.9531368,262.2139761,342.0088807,153.5665031,194.1079906,194.9597513,157.2204989,178.8740691,220.8720977,507.9306693,91.75990267,149.3229601,265.4497801,140.1552643,85.85762922,0,348.052249,0,376.1933948,292.620182,0,0,258.4835308,0,272.444647,0,21.65440305,28.31081368,8.456375437,134.7861405,82.62867905,113.5912391,0,118.6997156,196.6734489,593.5418893,338.5635529,403.0184971,174.1135843,338.6581102,265.1337629,415.0262527
(Â±)4-HDoHE,1593.469791,577.6883694,455.8428209,656.3928462,711.3175265,1360.605029,1308.80243,606.034201,585.7937519,761.9086825,635.4297269,714.6990564,438.3797881,1189.666248,1240.51962,1124.175942,51.42035907,512.4213501,477.5368319,1109.401432,956.4597069,1220.711428,1166.436022,1086.944608,1144.033039,756.7557736,2059.472684,1122.605353,256.1910119,2814.633926,1764.818078,1150.734689,2301.943436,3649.865171,6834.228537,259.1136304,1075.531122,1447.54885,987.4322529,801.3321747,785.8718997,2010.606303,227.2839028,1047.869236,807.8470699,1028.947983,808.042173,1218.206062,1635.595716,2083.472113,1887.387367,1005.197346,2695.342454,1958.255386,831.2911483,1914.633273,631.0316017,572.0087233,642.7522413,730.664613,291.001484,291.6862836,450.3796183,0,226.2930603,401.3983834,169.78158,241.9821579,2869.576487,1963.833095,1724.830825,479.1681294,2670.83546,1343.459002,716.9836749,474.2738292,1466.379753,1899.155772,1124.027674,1422.999641,1426.45772,407.7319353,1007.865002,2703.056749,1474.143407,4109.722452,593.9331982,1191.356269,1135.340387,747.7206247,2150.45375,802.1347875,687.5877036,1038.373825,1130.387211,503.8455538,2266.435365,4078.708593,1651.118765,851.3704098,4070.433081,616.1221854,1309.563644,3845.359035,1596.951156,1927.068798,785.032167,1461.802266,2383.494247,2912.448762,1508.892464,877.7942985,1755.644864,1749.480575,1634.512335,50.73434125,4840.210952,210.0965368,1978.971589,581.0879034,560.817608,441.2753237,2385.115729,506.2745252,2184.000134,148.0749114,525.5367882,421.0043038,809.3148076,381.6094942,431.2230709,701.3289452,0,1787.629559,245.1539169,854.6449256,300.4068904,218.0778134,256.4140252,340.4025706,386.7369054,172.5864581
(Â±)9-HODE,644.3402973,1150.52176,666.2910591,1099.085456,1381.05808,880.4870076,797.9512993,831.7474173,792.7049114,666.5645393,1267.209011,2453.076502,1439.767586,1172.932786,789.4095831,1959.184121,50.21671244,3224.637318,2431.363984,10768.47785,7771.448429,11649.17618,8755.244119,14647.19543,7142.7235,5119.435539,5614.455377,13490.66013,54.34918155,22447.34113,31263.15975,25361.07058,18891.26287,14693.62838,17184.44316,60.79993358,14156.73403,20432.99827,22256.87569,26479.59439,13172.74781,26773.06382,3976.905704,19371.05352,20207.42543,6469.266794,11870.9892,11133.32746,22939.66084,23500.91691,20781.19698,23410.96057,31149.41365,13873.29782,18289.27275,16889.87,20607.89059,55.35434721,651.2336381,1610.310186,1282.212086,1480.186116,2222.142793,43.4651498,1095.284642,891.5597462,1689.682425,1807.383669,17063.97318,24243.27484,13859.82961,13069.87336,19878.0093,35536.59537,57.49440192,65.83536614,9863.855215,15343.44,27716.61668,29426.41539,10293.30068,52.3527756,17165.80633,26472.96986,17924.98638,20949.31868,52.52280761,56.35117972,13025.47751,22868.82137,14284.45192,13850.08023,10536.98452,11881.81454,19291.13542,55.84886067,5634.459246,20680.86305,11610.48836,10122.42322,19984.18844,10155.81298,15402.52942,6836.683674,19933.83144,11999.89309,14452.52386,19495.59906,16327.89492,31249.76391,11271.90045,11358.11523,19118.5915,10967.31634,10631.5995,51.27011255,23654.41529,60.83943269,15994.16553,14575.1671,49.09557316,53.73618455,22471.07078,58.45582801,17486.8906,62.96335525,744.9272543,795.8334732,1131.543605,1522.39667,1176.401213,1182.941438,61.85421019,1070.863197,938.9975508,2448.667281,1425.777471,1019.546136,1629.526494,2251.734264,1633.588228,1815.368588
"[6]-Gingerdiol 3,5-diacetate",0,0,0,0,3.618225098,0,0,0,0,0,0.004649911,2.981948853,3.29760459,2.841339111,0.069100565,3.159870242,483.9119296,0.192129647,2.455079003,52.84437794,5.113721219,9.052719314,6.547289896,27.719868,25.32181729,15.68615808,5.584790392,0,781.7397678,1.391495964,6.19493103,0.265162375,9.046284288,0,5.569473267,622.7202379,0,0.470476188,34.70821017,14.76889102,171.2526714,3.718483755,37.61710279,39.11840661,122.8380367,2.485925213,62.13572972,39.44432768,23.84508314,16.5430603,0.422225288,0,2.335037231,12.11819501,0.22104497,3.470840454,0.470483702,895.021902,2.802902222,0,0,0,0,2598.453314,0,0,140.9082804,0,11.47554077,125.6072572,3.361434937,1.228975823,127.8953705,64.72602227,1131.553335,1163.199099,9.443450987,0,8.473586338,0.63962949,0,503.134768,10.22288856,2.781860352,6.554138184,56.22024255,672.4963478,789.6242808,6.453857053,48.69879826,0.226798186,54.23308344,8.709777951,4.851255549,0,1389.913488,16.89683521,16.52844406,52.74917358,252.8711014,38.15367949,18.27755242,4.445575178,1.428442716,2.371948242,0,70.20231067,7.59610565,28.74683757,65.20079085,0,111.613558,6.841859885,32.13193598,0,54.1584749,5.503371809,474.0827735,0,0.59512826,751.7357965,401.6744466,4.567335964,577.4242324,3.918365445,463.5676091,0,0,0.013011971,0,3.23003266,0.003096432,1757.49473,0,0,0,0,3.742630005,0,1.901326699,0,0
"1,11-Undecanedicarboxylic acid",30.78052329,98.86210663,226.7666312,209.5978124,108.0108892,28.84035773,76.1230607,140.5609325,165.8512091,44.76053338,601.825946,427.3773809,875.491262,426.9303544,347.8470263,784.7205545,306.3112632,247.803371,1881.701408,113.167693,134.2729801,361.1989522,151.2985402,684.7874567,546.1118674,358.3515262,274.0868955,139.3977695,0,301.4319458,269.6485809,249.9812586,336.1611108,277.8597217,440.1018589,20.29304569,244.9714121,81.02900436,440.8547509,708.9871062,418.7699268,252.551668,585.7010387,969.8892954,686.3997003,506.1534509,515.7912074,438.3274759,838.7440974,557.869088,507.693598,612.8480067,359.5157788,502.2433483,416.6650556,310.0413652,204.1328969,307.8938968,209.4766906,143.0885486,113.796167,249.0765352,242.2259959,0,117.5033095,313.1443064,39.21640099,348.9362165,201.7964114,545.1280739,121.0623876,450.0410455,178.8613632,426.106514,357.0190426,448.32228,345.5062823,190.4172599,287.8858571,148.8425197,19.87863774,351.5260703,753.1217431,408.9535978,493.8755646,293.9802839,621.6514797,564.9486512,999.5103588,459.4424026,215.0734297,491.9852663,201.0019775,132.1751352,330.5030994,517.9503081,417.6177287,130.0912362,165.2204461,163.1978409,208.9564405,108.7402736,42.2507485,36.16332872,0.032927013,425.0278877,187.8263828,292.1410556,59.54179934,215.2060093,132.1212736,332.5158516,184.2264179,111.4391998,868.6058194,607.2547694,89.03462196,0,129.9052034,289.1999693,988.0156551,1.156224609,76.91746062,2.056336591,1.873913273,0,1.455434129,21.19858,11.62944957,53.76084825,66.66881685,185.9961828,0.012991419,100.58647,169.1996967,511.5777382,484.1866583,463.6496193,156.4105632,317.3399836,240.2160729,448.9472689
