genotype,location,sample_full_name,date_run,sample_ID,ionization_mode
Pocillopora,MogMog,20240603_Gabby_Ulithi_M_P201_5mg_mL_pos,20240603,P201,pos
Pocillopora,MogMog,20240603_Gabby_Ulithi_M_P203_3_5mg_mL_pos,20240603,P203,pos
Pocillopora,MogMog,20240603_Gabby_Ulithi_M_P204_3_5mg_mL_pos,20240603,P204,pos
Pocillopora,MogMog,20240603_Gabby_Ulithi_M_P205_5mg_mL_pos,20240603,P205,pos
Pocillopora,MogMog,20240603_Gabby_Ulithi_M_P208_5mg_mL_pos,20240603,P208,pos
Pocillopora,MogMog,20240603_Gabby_Ulithi_M_P209_5mg_mL_pos,20240603,P209,pos
Pocillopora,MogMog,20240603_Gabby_Ulithi_M_P210_5mg_mL_pos,20240603,P210,pos
Pocillopora,MogMog,20240604_Gabby_Ulithi_M_P202_3_5mg_mL_pos,20240604,P202,pos
Pocillopora,MogMog,20240604_Gabby_Ulithi_M_P206_3_5mg_mL_pos,20240604,P206,pos
Pocillopora,MogMog,20240604_Gabby_Ulithi_M_P207_3_5mg_mL_pos,20240604,P207,pos
Pocillopora,Falalop,20240603_Gabby_Ulithi_M_P11_3_5mg_mL_pos,20240603,P11,pos
Pocillopora,Falalop,20240603_Gabby_Ulithi_M_P12_3_5mg_mL_pos,20240603,P12,pos
Pocillopora,Falalop,20240603_Gabby_Ulithi_M_P13_3_5mg_mL_pos,20240603,P13,pos
Pocillopora,Falalop,20240603_Gabby_Ulithi_M_P16_3_5mg_mL_pos,20240603,P16,pos
Pocillopora,Falalop,20240603_Gabby_Ulithi_M_P19_3_5mg_mL_pos,20240603,P19,pos
Pocillopora,Falalop,20240603_Gabby_Ulithi_M_P20_3_5mg_mL_pos,20240603,P20,pos
Pocillopora,Falalop,20240605_Gabby_Ulithi_M_P14_3_5mg_mL_pos,20240605,P14,pos
Pocillopora,Falalop,20240605_Gabby_Ulithi_M_P15_3_5mg_mL_pos,20240605,P15,pos
Pocillopora,Falalop,20240605_Gabby_Ulithi_M_P18_3_5mg_mL_pos,20240605,P18,pos
Montipora,Sohng,20240603_Gabby_Ulithi_M_91_3_5mg_mL_pos,20240603,M91,pos
Montipora,Sohng,20240603_Gabby_Ulithi_M_M92_3_5mg_mL_pos,20240603,M92,pos
Montipora,Sohng,20240603_Gabby_Ulithi_M_M94_3_5mg_mL_pos,20240603,M94,pos
Montipora,Sohng,20240603_Gabby_Ulithi_M_M95_3_5mg_mL_pos,20240603,M95,pos
Montipora,Sohng,20240603_Gabby_Ulithi_M_M96_3_5mg_mL_pos,20240603,M96,pos
Montipora,Sohng,20240603_Gabby_Ulithi_M_M97_3_5mg_mL_pos,20240603,M97,pos
Montipora,Sohng,20240604_Gabby_Ulithi_M_93_3_5mg_mL_pos,20240604,M93,pos
Montipora,Sohng,20240604_Gabby_Ulithi_M_M99_3_5mg_mL_pos,20240604,M99,pos
Montipora,Sohng,20240605_Gabby_Ulithi_M_M100_3_5mg_mL_pos,20240605,M100,pos
Montipora,Sohng,20240605_Gabby_Ulithi_M98_1_5mg_mL_pos,20240605,M98,pos
Montipora,Laam,20240603_Gabby_Ulithi_M_M85_3_5mg_mL_pos,20240603,M85,pos
Montipora,Laam,20240603_Gabby_Ulithi_M_M86_3_5mg_mL_pos,20240603,M86,pos
Montipora,Laam,20240603_Gabby_Ulithi_M_M90_3_5mg_mL_pos,20240603,M90,pos
Montipora,Laam,20240604_Gabby_Ulithi_M_M82_3_5mg_mL_pos,20240604,M82,pos
Montipora,Laam,20240604_Gabby_Ulithi_M_M83_3_5mg_mL_pos,20240604,M83,pos
Montipora,Laam,20240604_Gabby_Ulithi_M_M84_3_5mg_mL_pos,20240604,M84,pos
Montipora,Laam,20240604_Gabby_Ulithi_M_M88_3_5mg_mL_pos,20240604,M88,pos
Montipora,Laam,20240605_Gabby_Ulithi_M_M81_3_5mg_mL_pos,20240605,M81,pos
Montipora,Laam,20240605_Gabby_Ulithi_M_M87_3_5mg_mL_pos,20240605,M87,pos
Montipora,Falalop,20240603_Gabby_Ulithi_M_M1_3_5mg_mL_pos,20240603,M1,pos
Montipora,Falalop,20240603_Gabby_Ulithi_M_M2_3_5mg_mL_pos,20240603,M2,pos
Montipora,Falalop,20240603_Gabby_Ulithi_M_M3_3_5mg_mL_pos,20240603,M3,pos
Montipora,Falalop,20240603_Gabby_Ulithi_M_M4_3_5mg_mL_pos,20240603,M4,pos
Montipora,Falalop,20240603_Gabby_Ulithi_M_M5_3_5mg_mL_pos,20240603,M5,pos
Montipora,Falalop,20240603_Gabby_Ulithi_M_M6_3_5mg_mL_pos,20240603,M6,pos
Montipora,Falalop,20240603_Gabby_Ulithi_M_M7_3_5mg_mL_pos,20240603,M7,pos
Montipora,Falalop,20240603_Gabby_Ulithi_M_M8_3_5mg_mL_pos,20240603,M8,pos
Montipora,Falalop,20240603_Gabby_Ulithi_M_M9_3_5mg_mL_pos,20240603,M9,pos
Montipora,Falalop,20240603_Gabby_Ulithi_M_M10_3_5mg_mL_pos,20240603,M10,pos
Montipora,Pigleilei,20240603_Gabby_Ulithi_M_M72_3_5mg_mL_pos,20240603,M72,pos
Montipora,Pigleilei,20240603_Gabby_Ulithi_M_M74_3_5mg_mL_pos,20240603,M74,pos
Montipora,Pigleilei,20240603_Gabby_Ulithi_M_M76_2_5mg_mL_pos,20240603,M76,pos
Montipora,Pigleilei,20240604_Gabby_Ulithi_M_M71_3_5mg_mL_pos,20240604,M71,pos
Montipora,Pigleilei,20240604_Gabby_Ulithi_M_M75_3_5mg_mL_pos,20240604,M75,pos
Montipora,Pigleilei,20240604_Gabby_Ulithi_M_M77_3_5mg_mL_pos,20240604,M77,pos
Montipora,Pigleilei,20240604_Gabby_Ulithi_M_M78_3_5mg_mL_pos,20240604,M78,pos
Montipora,Pigleilei,20240604_Gabby_Ulithi_M_M79_3_5mg_mL_pos,20240604,M79,pos
Montipora,Pigleilei,20240605_Gabby_Ulithi_M_M73_3_5mg_mL_pos,20240605,M73,pos
Montipora,Pigleilei,20240605_Gabby_Ulithi_M_M80_3_5mg_mL_pos,20240605,M80,pos
Pocillopora,Bulbul,20240604_Gabby_Ulithi_M_70_3_5mg_mL_pos,20240604,M70,pos
Pocillopora,Bulbul,20240605_Gabby_Ulithi_M_M66_3_5mg_mL_pos,20240605,M66,pos
Pocillopora,Bulbul,20240605_Gabby_Ulithi_M_M67_3_5mg_mL_pos,20240605,M67,pos
Pocillopora,Bulbul,20240605_Gabby_Ulithi_M_M68_3_5mg_mL_pos,20240605,M68,pos
Pocillopora,Bulbul,20240605_Gabby_Ulithi_M_M69_3_5mg_mL_pos,20240605,M69,pos
Acropora,Bulbul,20240604_Gabby_Ulithi_M_62_3_5mg_mL_pos,20240604,M62,pos
Acropora,Bulbul,20240604_Gabby_Ulithi_M_M61_3_5mg_mL_pos,20240604,M61,pos
Acropora,Bulbul,20240604_Gabby_Ulithi_M_M63_3_5mg_mL_pos,20240604,M63,pos
Acropora,Bulbul,20240605_Gabby_Ulithi_M_M64_3_5mg_mL_pos,20240605,M64,pos
Acropora,Bulbul,20240605_Gabby_Ulithi_M_M65_3_5mg_mL_pos,20240605,M65,pos
Montipora,Fetabul,20240603_Gabby_Ulithi_M_M51_2_5mg_mL_pos,20240603,M51,pos
Montipora,Fetabul,20240603_Gabby_Ulithi_M_M55_3_5mg_mL_pos,20240603,M55,pos
Montipora,Fetabul,20240603_Gabby_Ulithi_M_M56_3_5mg_mL_pos,20240603,M56,pos
Montipora,Fetabul,20240604_Gabby_Ulithi_M_M52_3_5mg_mL_pos,20240604,M52,pos
Montipora,Fetabul,20240604_Gabby_Ulithi_M_M54_3_5mg_mL_pos,20240604,M54,pos
Montipora,Fetabul,20240604_Gabby_Ulithi_M_M57_3_5mg_mL_pos,20240604,M57,pos
Montipora,Fetabul,20240604_Gabby_Ulithi_M_M58_3_5mg_mL_pos,20240604,M58,pos
Montipora,Fetabul,20240604_Gabby_Ulithi_M_M59_3_5mg_mL_pos,20240604,M59,pos
Montipora,Fetabul,20240604_Gabby_Ulithi_M_M60_3_5mg_mL_pos,20240604,M60,pos
Montipora,Fetabul,20240605_Gabby_Ulithi_M_M53_3_5mg_mL_pos,20240605,M53,pos
Montipora,Federai,20240604_Gabby_Ulithi_M_45_3_5mg_mL_pos,20240604,M45,pos
Montipora,Federai,20240604_Gabby_Ulithi_M_46_3_5mg_mL_pos,20240604,M46,pos
Montipora,Federai,20240604_Gabby_Ulithi_M_48_3_5mg_mL_pos,20240604,M48,pos
Montipora,Federai,20240604_Gabby_Ulithi_M_M41_3_5mg_mL_pos,20240604,M41,pos
Montipora,Federai,20240604_Gabby_Ulithi_M_M43_3_5mg_mL_pos,20240604,M43,pos
Montipora,Federai,20240604_Gabby_Ulithi_M_M47_2_5mg_mL_pos,20240604,M47,pos
Montipora,Federai,20240604_Gabby_Ulithi_M_M49_3_5mg_mL_pos,20240604,M49,pos
Montipora,Federai,20240604_Gabby_Ulithi_M_M50_2_5mg_mL_pos,20240604,M50,pos
Montipora,Federai,20240605_Gabby_Ulithi_M_M42_3_5mg_mL_pos,20240605,M42,pos
Montipora,Federai,20240605_Gabby_Ulithi_M_M44_3_5mg_mL_pos,20240605,M44,pos
Montipora,Soghlei,20240604_Gabby_Ulithi_M_32_3_5mg_mL_pos,20240604,M32,pos
Montipora,Soghlei,20240604_Gabby_Ulithi_M_M33_3_5mg_mL_pos,20240604,M33,pos
Montipora,Soghlei,20240604_Gabby_Ulithi_M_M34_3_5mg_mL_pos,20240604,M34,pos
Montipora,Soghlei,20240604_Gabby_Ulithi_M_M36_3_5mg_mL_pos,20240604,M36,pos
Montipora,Soghlei,20240604_Gabby_Ulithi_M_M40_3_5mg_mL_pos,20240604,M40,pos
Montipora,Soghlei,20240605_Gabby_Ulithi_M_M31_3_5mg_mL_pos,20240605,M31,pos
Montipora,Soghlei,20240605_Gabby_Ulithi_M_M35_3_5mg_mL_pos,20240605,M35,pos
Montipora,Soghlei,20240605_Gabby_Ulithi_M_M39_3_5mg_mL_pos,20240605,M39,pos
Montipora,MogMog,20240603_Gabby_Ulithi_M_29_5mg_mL_pos,20240603,M29,pos
Montipora,MogMog,20240603_Gabby_Ulithi_M_M22_U_5mg_mL_pos,20240603,M22,pos
Montipora,MogMog,20240603_Gabby_Ulithi_M_M23_5mg_mL_pos,20240603,M23,pos
Montipora,MogMog,20240603_Gabby_Ulithi_M_M26_5mg_mL_pos,20240603,M26,pos
Montipora,MogMog,20240603_Gabby_Ulithi_M_M27_3_5mg_mL_pos,20240603,M27,pos
Montipora,MogMog,20240603_Gabby_Ulithi_M_M28_5mg_mL_pos,20240603,M28,pos
Montipora,MogMog,20240604_Gabby_Ulithi_M_M24_3_5mg_mL_pos,20240604,M24,pos
Montipora,MogMog,20240604_Gabby_Ulithi_M_M30_3_5mg_mL_pos,20240604,M30,pos
Montipora,MogMog,20240604_Gabby_Ulithi_M25_2_5mg_mL_pos,20240604,M25,pos
Montipora,MogMog,20240605_Gabby_Ulithi_M_M21_U_5mg_mL_pos,20240605,M21,pos
Montipora,Asor,20240603_Gabby_Ulithi_M_M12_U_5mg_mL_pos,20240603,M12,pos
Montipora,Asor,20240603_Gabby_Ulithi_M_M13_U_5mg_mL_pos,20240603,M13,pos
Montipora,Asor,20240603_Gabby_Ulithi_M_M17_U_5mg_mL_pos,20240603,M17,pos
Montipora,Asor,20240604_Gabby_Ulithi_M_M14_U_5mg_mL_pos,20240604,M14,pos
